POB1;SUP;DENSIDAD;X;y;Latitude;Longitude
13;0.48079844025;27.03835726520;670889;2286730;20.67217;-103.35944
171;1.20205718732;142.25612708300;671608;2286621;20.67112;-103.35255
194;0.70488394459;275.22261145200;671504;2286055;20.66601;-103.3536
56;0.63841548025;87.71717123490;671321;2286204;20.66738;-103.35534
109;0.78653630743;138.58228662900;672573;2286176;20.66701;-103.34333
211;1.21411169244;173.78961203800;673191;2286687;20.67157;-103.33735
31;0.09749444244;317.96684225800;670931;2289427;20.69652;-103.35877
106;0.63780650461;166.19460484200;670864;2289433;20.69658;-103.35941
191;0.49424714867;386.44633664300;670862;2289403;20.69631;-103.35944
266;1.39301813602;190.95228778600;670854;2289356;20.69589;-103.35952
218;2.01221343105;108.33840816100;670987;2289393;20.69621;-103.35824
388;1.61245491891;240.62688230800;670970;2289206;20.69452;-103.35842
54;0.15296787440;353.01529954100;671099;2289128;20.69381;-103.35719
77;0.44389860569;173.46303640800;671064;2289128;20.69381;-103.35752
205;0.68896895611;297.54606239200;671106;2289189;20.69436;-103.35711
323;1.31675706280;245.29961458000;671220;2289193;20.69438;-103.35602
127;0.43219473488;293.84902163600;671267;2289187;20.69432;-103.35557
245;1.26268545557;194.03090367400;671290;2289184;20.6943;-103.35535
158;0.87761132992;180.03413881900;671002;2289557;20.69769;-103.35808
154;0.96598346719;159.42301833300;670877;2289567;20.69779;-103.35928
132;1.01458419652;130.10255871600;671010;2289648;20.69851;-103.35799
55;0.04055098710;1356.31716834000;670837;2289742;20.69938;-103.35964
64;0.03918883214;1633.11832726000;670893;2289734;20.6993;-103.35911
136;0.41127299166;330.68060085900;671012;2289686;20.69886;-103.35797
304;1.77422624473;171.34229690400;670893;2289702;20.69901;-103.35911
71;0.55230259774;128.55271782200;670865;2289994;20.70165;-103.35935
60;0.55875499988;107.38158945000;670823;2289933;20.7011;-103.35976
0;0.24981387542;0.00000000000;670883;2290023;20.70191;-103.35917
142;0.48992676833;289.83923553500;670727;2288670;20.6897;-103.3608
136;0.90096152979;150.94984136700;670806;2288555;20.68866;-103.36006
